date,ranking,name,id,visits,average_ccu,session_length
2025-04-29,1,Dead Rails [Alpha],116495829188952,37290967,478266.8597,18.5929593608686
2025-04-29,2,Brookhaven 🏡RP,4924922222,42515772,436204.2903,14.899134032012112
2025-04-29,3,[☄️⭐GRAVITY] Blox Fruits,2753915549,36444029,403208.8333,16.125756564353836
2025-04-29,4,🔥 Bubble Gum Simulator INFINITY,85896571713843,11036394,316938.9583,41.71813984794667
2025-04-29,5,[🌙] Grow a Garden 🍄,126884695634066,22456295,235126.2042,15.196022088641437
2025-04-29,6,Arise Crossover,87039211657390,8738170,126288.2917,22.06601385388512
2025-04-29,7,[NEL RIN] Blue Lock: Rivals,18668065416,14473489,116185.9111,11.602277749687708
2025-04-29,8,🥚 Dandy's World [ALPHA],16116270224,13112721,111561.9333,12.293190058205196
2025-04-29,9,Forsaken,18687417158,7824793,104216.2917,19.17715471900668
2025-04-29,10,The Strongest Battlegrounds,10449761463,10986764,74127.3875,9.74648876006963
2025-04-30,1,Dead Rails [Alpha],116495829188952,41865111,540341.0542,18.662099132435326
2025-04-30,2,Brookhaven 🏡RP,4924922222,44544696,460294.7288,14.92650688538893
2025-04-30,3,[☄️⭐GRAVITY] Blox Fruits,2753915549,38877253,429451.2295,16.05687111072052
2025-04-30,4,🔥 Bubble Gum Simulator INFINITY,85896571713843,11360905,325213.4375,41.64874534267285
2025-04-30,5,[🌙] Grow a Garden 🍄,126884695634066,25182224,265274.0195,15.259800775851357
2025-04-30,6,Arise Crossover,87039211657390,10132442,135882.125,20.370038221696586
2025-04-30,7,🥚 Dandy's World [ALPHA],16116270224,14105986,121661.8526,12.443984354751676
2025-04-30,8,[NEL RIN] Blue Lock: Rivals,18668065416,15116985,121262.8915,11.53987759316194
2025-04-30,9,Forsaken,18687417158,8143584,108578.75,19.19488902875507
2025-04-30,10,The Strongest Battlegrounds,10449761463,11983749,81314.3046,9.79062490665954
2025-05-01,1,Dead Rails [Alpha],116495829188952,51553458,693855.4965,19.430267078583533
2025-05-01,2,Brookhaven 🏡RP,4924922222,57087486,598297.1889,15.124766792845229
2025-05-01,3,[☄️⭐GRAVITY] Blox Fruits,2753915549,42468874,469560.0611,16.051196512094286
2025-05-01,4,[🌙] Grow a Garden 🍄,126884695634066,30398908,327587.9555,15.732308833401165
2025-05-01,5,🔥 Bubble Gum Simulator INFINITY,85896571713843,10770514,233470.0625,31.933531111146465
2025-05-01,6,🥚 Dandy's World [ALPHA],16116270224,15979307,137051.9125,12.387782173645675
2025-05-01,7,[NEL RIN] Blue Lock: Rivals,18668065416,16505380,135024.0612,11.803187542418575
2025-05-01,8,Arise Crossover,87039211657390,9755523,131550.625,20.407186997090623
2025-05-01,9,Forsaken,18687417158,9088283,124487.8542,19.739171332656163
2025-05-01,10,The Strongest Battlegrounds,10449761463,13999219,95294.8528,9.8322627410331
