date,Rank,Name,Followers,Hours Watched,Average Viewers,Followers Gain
2025-05-20,1,caseoh\_,7050000,119143,52953,27084
2025-05-20,2,alfaline7,11000,35647,779,24
2025-05-20,3,thallecotv,17000,32302,715,5258
2025-05-20,4,anjoscampe,6000,28814,743,17
2025-05-20,5,mooda,458000,26342,5018,3433
2025-05-20,6,Bisteconee,1310000,24172,12612,7609
2025-05-20,7,abgamingx,8000,18429,371,251
2025-05-20,8,Skermz,274000,16291,3055,57
2025-05-20,9,strixtlyz,27000,14481,1279,1599
2025-05-20,10,theelivan,4000,13946,239,87
2025-05-20,11,melly,12000,13591,541,79
2025-05-20,12,TeiHuDeSaia,313,13341,431,193
2025-05-20,13,Papaplatte,2860000,12203,29286,7243
2025-05-20,14,saftazz,21000,11866,553,1353
2025-05-20,15,konvy,163000,10203,7653,878
2025-05-20,16,mosquitinho007,11000,8485,790,8
2025-05-20,17,cheesur,147000,7306,7970,598
2025-05-20,18,JessiesFetchQuest,4000,6765,44,23
2025-05-20,19,T2x2,1590000,6319,8425,7184
2025-05-20,20,Routxttt,9000,5976,1071,102
2025-05-21,1,caseoh\_,7050000,65442,52354,27692
2025-05-21,2,alfaline7,11000,35647,779,24
2025-05-21,3,thallecotv,17000,32302,715,5258
2025-05-21,4,anjoscampe,6000,27578,748,12
2025-05-21,5,abgamingx,8000,19483,368,267
2025-05-21,6,Skermz,274000,17657,3117,132
2025-05-21,7,mooda,458000,15108,5037,3689
2025-05-21,8,strixtlyz,27000,14810,1279,1210
2025-05-21,9,theelivan,4000,14297,258,82
2025-05-21,10,melly,12000,13523,551,65
2025-05-21,11,TeiHuDeSaia,313,13341,431,193
2025-05-21,12,Papaplatte,2860000,12203,29286,6833
2025-05-21,13,saftazz,21000,11866,553,893
2025-05-21,14,mdbh360,328,10642,392,12
2025-05-21,15,konvy,163000,10203,7653,868
2025-05-21,16,mosquitinho007,11000,8485,790,8
2025-05-21,17,cheesur,147000,7306,7970,598
2025-05-21,18,Masayoshi,649000,6733,1880,227
2025-05-21,19,JessiesFetchQuest,4000,6730,44,14
